1	I	REGION  I
2	II	REGION II
3	III	REGION III
4	IV-A	REGION IV-A
5	V	REGION V
6	VI	REGION VI
7	VII	REGION VII
8	VIII	REGION VIII
9	IX	REGION IX
10	X	REGION X
11	XI	REGION XI
12	XII	REGION XII
13	XIII	REGION XIII
14	IV-B	REGION IV-B
97	ARMM	ARMM
98	CAR	CAR
99	NCR	NCR - METRO MANILA
100	N/P	NOT PROVIDED
